R_NR
recourse
non-recourse
non-recourse
recourse
non-recourse
recourse
recourse
recourse
recourse
recourse
recourse
recourse
recourse
recourse
non-recourse
recourse
recourse
recourse
recourse
recourse
recourse
recourse
non-recourse
recourse
recourse
non-recourse
recourse
recourse
recourse
recourse
recourse
recourse
recourse
non-recourse
recourse
recourse
non-recourse
recourse
recourse
recourse
recourse
recourse
recourse
recourse
recourse
recourse
non-recourse
recourse
non-recourse
recourse
